,Unnamed: 0,ID,Start_Time,County,State,Severity,Start_Lat,Start_Lng,Sunrise_Sunset,Weekday,Hour,Month
295116,628959,A-3351088,2020-10-25 04:59:00,Clayton,GA,2,33.578821000000005,-84.351536,Night,6,4,10
296204,630941,A-3353094,2020-11-11 14:38:00,Clayton,GA,2,33.555574,-84.302452,Day,2,14,11
297545,633344,A-3355519,2020-11-01 14:49:00,Clayton,GA,2,33.619655,-84.398914,Day,6,14,11
299217,636333,A-3358552,2020-10-12 04:29:00,Clayton,GA,2,33.582576,-84.279845,Night,0,4,10
299784,637389,A-3359624,2020-11-10 22:00:59,Clayton,GA,2,33.638892999999996,-84.401098,Night,1,22,11
299938,637687,A-3359922,2020-12-25 12:55:00,Clayton,GA,2,33.631929,-84.400695,Day,4,12,12
300200,638181,A-3360422,2020-12-15 16:32:00,Clayton,GA,2,33.574615,-84.334777,Day,1,16,12
300313,638384,A-3360629,2020-09-20 05:36:30,Clayton,GA,2,33.598746000000006,-84.390132,Night,6,5,9
300393,638530,A-3360775,2020-10-08 18:16:00,Clayton,GA,2,33.633881,-84.400931,Day,3,18,10
300881,639435,A-3361691,2020-11-24 12:00:30,Clayton,GA,2,33.588378000000006,-84.383425,Day,1,12,11
301044,639736,A-3361995,2020-11-22 13:21:00,Clayton,GA,2,33.629915999999994,-84.400693,Day,6,13,11
301737,640954,A-3363233,2020-12-15 18:18:00,Clayton,GA,2,33.570083000000004,-84.327706,Night,1,18,12
302710,642735,A-3365039,2020-11-01 11:07:00,Clayton,GA,2,33.625169,-84.399987,Day,6,11,11
303098,643387,A-3365702,2020-12-24 00:13:00,Clayton,GA,2,33.616671999999994,-84.445198,Night,3,0,12
303632,644313,A-3366637,2020-11-18 11:38:00,Clayton,GA,2,33.616157,-84.442666,Day,2,11,11
304083,645132,A-3367471,2020-11-14 18:45:00,Clayton,GA,2,33.619655,-84.398914,Night,5,18,11
304848,646558,A-3368916,2020-11-23 04:34:00,Clayton,GA,2,33.626543,-84.419342,Night,0,4,11
305109,647021,A-3369386,2020-10-07 03:03:00,Clayton,GA,4,33.618745000000004,-84.457623,Night,2,3,10
307648,651623,A-3374039,2020-12-02 00:09:00,Clayton,GA,2,33.638967,-84.37820699999999,Night,2,0,12
309183,654448,A-3376891,2020-11-16 12:36:30,Clayton,GA,2,33.617096999999994,-84.43861600000001,Day,0,12,11
309539,655100,A-3377549,2020-12-13 03:47:00,Clayton,GA,2,33.610085,-84.396167,Night,6,3,12
311424,658623,A-3381108,2020-11-28 03:42:00,Clayton,GA,2,33.648751000000004,-84.445821,Night,5,3,11
313361,662097,A-3384625,2020-11-12 15:10:00,Clayton,GA,2,33.629075,-84.40039499999999,Day,3,15,11
314104,663427,A-3385972,2020-11-12 15:10:00,Clayton,GA,2,33.619655,-84.398914,Day,3,15,11
314484,664090,A-3386643,2020-12-04 00:52:00,Clayton,GA,2,33.616157,-84.442666,Night,4,0,12
316963,668527,A-3391135,2020-11-19 04:23:00,Clayton,GA,2,33.616157,-84.442666,Night,3,4,11
317748,669945,A-3392580,2020-11-14 18:45:00,Clayton,GA,2,33.619655,-84.398914,Night,5,18,11
318572,671411,A-3394065,2020-09-24 17:48:30,Clayton,GA,2,33.577675,-84.346233,Day,3,17,9
318909,672066,A-3394727,2020-11-08 11:52:00,Clayton,GA,2,33.587361,-84.382928,Day,6,11,11
319201,672590,A-3395257,2020-12-06 11:13:30,Clayton,GA,2,33.578407,-84.348772,Day,6,11,12
319320,672814,A-3395483,2020-09-28 07:39:30,Clayton,GA,2,33.571936,-84.330508,Day,0,7,9
322244,678110,A-3400845,2020-09-20 05:36:30,Clayton,GA,2,33.613424,-84.397152,Night,6,5,9
324079,681370,A-3404147,2020-11-14 09:19:00,Clayton,GA,2,33.638816,-84.378074,Day,5,9,11
324487,682096,A-3404877,2020-10-26 08:52:00,Clayton,GA,2,33.618483000000005,-84.4575,Day,0,8,10
326494,685654,A-3408484,2020-11-20 04:08:00,Clayton,GA,2,33.63534,-84.401425,Night,4,4,11
327607,687628,A-3410497,2020-12-11 04:31:00,Clayton,GA,2,33.615019000000004,-84.397609,Night,4,4,12
327622,687653,A-3410523,2020-12-13 05:18:00,Clayton,GA,2,33.626543,-84.419342,Night,6,5,12
327750,687892,A-3410765,2020-12-13 16:37:30,Clayton,GA,2,33.617470000000004,-84.398308,Day,6,16,12
331324,694262,A-3417220,2020-12-22 01:53:00,Clayton,GA,2,33.647940999999996,-84.397788,Night,1,1,12
333484,698032,A-3421031,2020-11-11 14:08:30,Clayton,GA,4,33.561612,-84.314886,Day,2,14,11
334816,700443,A-3423481,2020-10-07 02:55:00,Clayton,GA,2,33.617437,-84.450532,Night,2,2,10
334932,700639,A-3423683,2020-11-19 04:45:00,Clayton,GA,2,33.625169,-84.399987,Night,3,4,11
339088,708114,A-3431260,2020-12-23 19:16:00,Clayton,GA,2,33.561612,-84.314886,Night,2,19,12
340679,710870,A-3434049,2020-12-31 03:35:00,Clayton,GA,2,33.641851,-84.453153,Night,3,3,12
342123,713418,A-3436622,2020-12-23 14:48:00,Clayton,GA,2,33.561710999999995,-84.314685,Day,2,14,12
342176,713518,A-3436722,2020-11-11 16:59:00,Clayton,GA,2,33.584228,-84.373766,Day,2,16,11
343454,715722,A-3438946,2020-11-21 19:38:37,Clayton,GA,2,33.583752000000004,-84.372089,Night,5,19,11
343641,716028,A-3439255,2020-12-29 07:48:00,Clayton,GA,2,33.616844,-84.43862,Day,1,7,12
344755,717933,A-3441184,2020-11-22 13:21:00,Clayton,GA,2,33.63147,-84.400892,Day,6,13,11
345792,720180,A-3443437,2020-05-25 02:32:39,Clayton,GA,3,33.67015,-84.33254000000001,Night,0,2,5
346630,722248,A-3445505,2020-05-26 17:28:16,Clayton,GA,2,33.6164,-84.44303000000001,Day,1,17,5
346654,722282,A-3445539,2020-05-26 18:12:31,Clayton,GA,2,33.62908,-84.40041,Day,1,18,5
347483,724632,A-3447890,2020-05-27 13:13:03,Clayton,GA,1,33.54916,-84.26865,Day,2,13,5
347505,724657,A-3447915,2020-05-27 14:48:40,Clayton,GA,3,33.62908,-84.40041,Day,2,14,5
347511,724663,A-3447921,2020-05-27 12:59:46,Clayton,GA,3,33.63378,-84.40097,Day,2,12,5
347512,724664,A-3447922,2020-05-27 13:26:02,Clayton,GA,1,33.62742,-84.4562,Day,2,13,5
347515,724667,A-3447925,2020-05-27 13:32:32,Clayton,GA,3,33.62894,-84.40039,Day,2,13,5
347519,724672,A-3447930,2020-05-27 13:48:43,Clayton,GA,3,33.62894,-84.40039,Day,2,13,5
